,Sr. No. ,Sample No. ,Location,Red (R.),Green (G),Blue (B),White (W),Conc. (%),RT-PCR
233,,,Shivaji nagar (Chaturshringhi),0.1061,0.1696,0.2113,0.1465,1.4844,Positive
234,,,Shivaji nagar (Chaturshringhi),0.1145,0.1692,0.2113,0.1492,1.4844,Positive
235,,,Shivaji nagar (Chaturshringhi),0.11876,0.16970000000000002,0.21098000000000003,0.15226,1.48596,Positive
237,35.0,1,Kothrud (Sanjeevan hospital),0.0695,0.0955,0.1205,0.0954,0.8359,Negative
238,,,Kothrud (Sanjeevan hospital),0.0853,0.098,0.1192,0.0951,0.8594,Negative
239,,,Kothrud (Sanjeevan hospital),0.0698,0.0959,0.1215,0.0974,0.8398,Negative
240,,,Kothrud (Sanjeevan hospital),0.0518,0.0959,0.1187,0.0974,0.8398,Negative
241,,,Kothrud (Sanjeevan hospital),0.0635,0.0993,0.1213,0.0972,0.8711,Negative
242,,,Kothrud (Sanjeevan hospital),0.06798,0.09691999999999999,0.12023999999999999,0.0965,0.8492,Negative
244,36.0,3,Kothrud (Karve Road),0.0,0.0141,0.0215,0.0019,0.124,Negative
245,,,Kothrud (Karve Road),0.0023,0.014,0.0215,0.0017,0.123,Negative
246,,,Kothrud (Karve Road),0.0,0.0133,0.0217,0.0033,0.1162,Negative
247,,,Kothrud (Karve Road),0.0031,0.0132,0.0208,0.0041,0.1157,Negative
